"Freq [GHz]","dB(S(waveport1:1,waveport3:1)) []","dB(S(waveport1:1,waveport2:1)) []","dB(S(waveport1:1,waveport4:1)) []","ang_rad(S(waveport1:1,waveport3:1)) [rad]","ang_rad(S(waveport1:1,waveport2:1)) [rad]","ang_rad(S(waveport1:1,waveport4:1)) [rad]"
1.35055,-44.8717099450951,-0.000278068704737525,-52.5759465184864,-1.26474537606817,-2.83356036282307,-1.27508193507034
1.3580475,-44.8241844339848,-0.000280785505767286,-52.5264600228655,-1.2804845437747,-2.84929109190772,-1.29085713442585
1.365545,-44.7769260356707,-0.000283517296111789,-52.477225781958,-1.29622373852688,-2.86502182855593,-1.30663236238095
1.3730425,-44.7299318478907,-0.000286264204657325,-52.428240877814,-1.31196296165086,-2.88075257282719,-1.32240762665997
1.38054,-44.683199015904,-0.000289026361477553,-52.3795024408231,-1.32770221447525,-2.89648332478099,-1.33818293499055
1.3880375,-44.6367247314661,-0.000291803897899081,-52.3310076486883,-1.34344149833085,-2.91221408447676,-1.35395829510157
1.395535,-44.5905062318303,-0.000294596946487968,-52.2827537254275,-1.35918081455039,-2.92794485197392,-1.36973371472109
1.4030325,-44.544540798777,-0.000297405641103734,-52.2347379404021,-1.37492016446824,-2.94367562733186,-1.38550920157435
1.41053,-44.498825757668,-0.000300230116885864,-52.18695760737,-1.39065954942015,-2.95940641060994,-1.40128476338169
1.4180275,-44.4533584765266,-0.000303070510313601,-52.1394100835647,-1.40639897074294,-2.97513720186745,-1.41706040785654
1.425525,-44.4081363651414,-0.000305926959204023,-52.0920927687971,-1.42213842977427,-2.99086800116371,-1.43283614270333
1.4330225,-44.3631568741935,-0.000308799602776659,-52.0450031045815,-1.43787792785232,-3.00659880855794,-1.44861197561552
1.44052,-44.3184174944071,-0.000311688581645781,-51.9981385732831,-1.45361746631553,-3.02232962410935,-1.46438791427347
1.4480175,-44.2739157557213,-0.000314594037901415,-51.9514966972884,-1.46935704650234,-3.03806044787713,-1.48016396634247
1.455515,-44.229649226484,-0.000317516115106448,-51.9050750381954,-1.48509666975084,-3.05379127992038,-1.49594013947069
1.4630125,-44.1856155126661,-0.000320454958380543,-51.8588711960251,-1.50083633739856,-3.0695221202982,-1.51171644128709
1.47051,-44.1418122570953,-0.000323410714403026,-51.8128828084526,-1.51657605078217,-3.08525296906963,-1.52749287939945
1.4780075,-44.0982371387107,-0.000326383531498729,-51.7671075500566,-1.53231581123717,-3.10098382629367,-1.54326946139229
1.485505,-44.0548878718345,-0.000329373559641848,-51.7215431315888,-1.54805562009762,-3.11671469202925,-1.55904619482486
1.4930025,-44.0117622054635,-0.000332380950528278,-51.6761872992599,-1.56379547869587,-3.13244556633527,-1.57482308722912
1.5005,-43.9688579225772,-0.000335405857653732,-51.6310378340439,-1.57953538836227,3.13500885790899,-1.59060014610766
1.5079975,-43.9261728394641,-0.000338448436326284,-51.586092550999,-1.59527535042485,3.11927796628558,-1.60637737893176
1.515495,-43.8837048050636,-0.000341508843730024,-51.5413492986049,-1.61101536620908,3.10354706591534,-1.62215479313929
1.5229925,-43.841451700325,-0.000344587238995461,-51.4968059581159,-1.62675543703756,3.08781615673959,-1.63793239613274
1.53049,-43.7994114375818,-0.000347683783257396,-51.4524604429296,-1.64249556422973,3.07208523869969,-1.65371019527721
1.5379875,-43.7575819599409,-0.000350798639707964,-51.4083106979701,-1.65823574910159,3.05635431173708,-1.66948819789837
1.545485,-43.7159612406877,-0.000353931973653544,-51.3643546990862,-1.67397599296538,3.04062337579325,-1.68526641128049
1.5529825,-43.6745472827043,-0.000357083952581301,-51.3205904524636,-1.68971629712935,3.02489243080976,-1.70104484266439
1.56048,-43.6333381179022,-0.000360254746230563,-51.2770159940502,-1.70545666289742,3.00916147672824,-1.71682349924552
1.5679775,-43.592331806669,-0.000363444526659367,-51.2336293889952,-1.72119709156889,2.99343051349035,-1.73260238817191
1.575475,-43.5515264373273,-0.000366653468279186,-51.1904287311007,-1.73693758443817,2.97769954103788,-1.74838151654222
1.5829725,-43.5109201256071,-0.000369881747956193,-51.1474121422861,-1.75267814279448,2.96196855931263,-1.76416089140373
1.59047,-43.4705110141306,-0.000373129545051775,-51.104577772064,-1.76841876792156,2.94623756825652,-1.77994051975041
1.5979675,-43.4302972719085,-0.000376397041505478,-51.0619237970287,-1.78415946109736,2.93050656781153,-1.7957204085209
1.605465,-43.3902770938487,-0.000379684421881303,-51.0194484203551,-1.79990022359375,2.9147755579197,-1.81150056459661
1.6129625,-43.3504487002759,-0.000382991873452582,-50.9771498713097,-1.81564105667625,2.89904453852317,-1.82728099479972
1.62046,-43.3108103364628,-0.000386319586250208,-50.9350264047713,-1.83138196160371,2.88331350956416,-1.84306170589127
1.6279575,-43.2713602721712,-0.000389667753150395,-50.893076300763,-1.84712293962802,2.86758247098497,-1.85884270456918
